INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT;E_USE_PLAN;GEN_FACT;GEN_PLAN
6;01.12.2019 0:00:00;1;530000;27109;27276;28309;28408
7;01.12.2019 0:00:00;1;530000;27908;28221;29508;29423
8;01.12.2019 0:00:00;1;530000;28925;29314;30024;30438
9;01.12.2019 0:00:00;1;530000;30175;30510;30346;30892
10;01.12.2019 0:00:00;1;530000;30838;30712;30836;31303
11;01.12.2019 0:00:00;1;530000;30982;30905;31023;31330
12;01.12.2019 0:00:00;1;530000;30946;30754;31465;31255
13;01.12.2019 0:00:00;1;530000;30844;30854;31421;31345
14;01.12.2019 0:00:00;1;530000;30950;30902;31580;31453
15;01.12.2019 0:00:00;1;530000;31430;31601;32172;32244
16;01.12.2019 0:00:00;1;530000;33053;33125;33503;33492
17;01.12.2019 0:00:00;1;530000;33279;33018;33869;33765
18;01.12.2019 0:00:00;1;530000;32931;32987;33450;33352
19;01.12.2019 0:00:00;1;530000;32180;32336;33080;32801
20;01.12.2019 0:00:00;1;530000;31574;31804;32110;31447
21;01.12.2019 0:00:00;1;530000;30884;30607;30236;30150
22;01.12.2019 0:00:00;1;530000;29101;29262;29622;29566
23;01.12.2019 0:00:00;1;530000;27883;27990;29110;29202
0;02.12.2019 0:00:00;1;530000;27075;26999;27936;28130
1;02.12.2019 0:00:00;1;530000;26416;26312;27382;27572
2;02.12.2019 0:00:00;1;530000;26057;25932;27319;27421
3;02.12.2019 0:00:00;1;530000;26047;26069;27542;27479
4;02.12.2019 0:00:00;1;530000;26446;26362;28443;28349
5;02.12.2019 0:00:00;1;530000;27805;27748;29425;29314
6;02.12.2019 0:00:00;1;530000;30271;30268;31265;31275
7;02.12.2019 0:00:00;1;530000;32119;32312;32353;32319
8;02.12.2019 0:00:00;1;530000;33715;34021;33341;33679
9;02.12.2019 0:00:00;1;530000;34456;35068;34423;34314
10;02.12.2019 0:00:00;1;530000;34526;34701;33217;33286
11;02.12.2019 0:00:00;1;530000;34444;34094;33072;33160
12;02.12.2019 0:00:00;1;530000;34377;33861;34063;33983
13;02.12.2019 0:00:00;1;530000;34473;34347;34147;34157
14;02.12.2019 0:00:00;1;530000;34583;34505;33214;33170
15;02.12.2019 0:00:00;1;530000;35079;34769;33312;33291
16;02.12.2019 0:00:00;1;530000;35307;35580;34010;33976
17;02.12.2019 0:00:00;1;530000;35414;35630;34071;34014
18;02.12.2019 0:00:00;1;530000;34869;34925;33602;33019
19;02.12.2019 0:00:00;1;530000;33884;33928;31908;31939
20;02.12.2019 0:00:00;1;530000;33162;33353;32237;30985
21;02.12.2019 0:00:00;1;530000;31989;32121;31326;30776
22;02.12.2019 0:00:00;1;530000;30278;30235;30432;29926
23;02.12.2019 0:00:00;1;530000;28681;28614;29742;29554
0;03.12.2019 0:00:00;1;530000;27757;27616;28945;28074
1;03.12.2019 0:00:00;1;530000;27087;26899;28174;27517
2;03.12.2019 0:00:00;1;530000;26861;26643;27892;27070
3;03.12.2019 0:00:00;1;530000;27022;26707;27859;27028
4;03.12.2019 0:00:00;1;530000;27250;27207;28998;28165
5;03.12.2019 0:00:00;1;530000;28588;28399;30014;29490
6;03.12.2019 0:00:00;1;530000;30781;30815;31701;31364
7;03.12.2019 0:00:00;1;530000;32739;32853;32569;32560
8;03.12.2019 0:00:00;1;530000;34131;34255;34115;33854
9;03.12.2019 0:00:00;1;530000;34825;35029;34912;34828
10;03.12.2019 0:00:00;1;530000;34606;34907;33728;33908
11;03.12.2019 0:00:00;1;530000;34270;34454;34160;33531
12;03.12.2019 0:00:00;1;530000;34283;34384;35049;34677
13;03.12.2019 0:00:00;1;530000;34357;34336;34919;34856
14;03.12.2019 0:00:00;1;530000;34274;34447;33025;33339
15;03.12.2019 0:00:00;1;530000;34728;34775;33816;33976
16;03.12.2019 0:00:00;1;530000;35228;35486;34747;34637
17;03.12.2019 0:00:00;1;530000;35009;35217;34855;34667
18;03.12.2019 0:00:00;1;530000;34857;34866;33353;33005
19;03.12.2019 0:00:00;1;530000;33869;34066;32508;31957
20;03.12.2019 0:00:00;1;530000;33431;33203;32816;31611
21;03.12.2019 0:00:00;1;530000;32170;32008;32109;31630
22;03.12.2019 0:00:00;1;530000;30308;30444;31826;31639
23;03.12.2019 0:00:00;1;530000;28788;28870;31054;30928
0;04.12.2019 0:00:00;1;530000;27736;27761;28832;28789
1;04.12.2019 0:00:00;1;530000;27190;27093;27808;27710
2;04.12.2019 0:00:00;1;530000;26919;26841;27900;27783
3;04.12.2019 0:00:00;1;530000;26625;26902;27940;27845
4;04.12.2019 0:00:00;1;530000;27086;27295;29029;28972
5;04.12.2019 0:00:00;1;530000;28430;28460;30139;30090
6;04.12.2019 0:00:00;1;530000;30757;30799;32234;32135
7;04.12.2019 0:00:00;1;530000;32579;32737;33323;33279
8;04.12.2019 0:00:00;1;530000;34013;34088;34691;34680
9;04.12.2019 0:00:00;1;530000;34562;34754;35279;34969
10;04.12.2019 0:00:00;1;530000;34575;34712;34128;33692
11;04.12.2019 0:00:00;1;530000;34259;34286;33825;33800
12;04.12.2019 0:00:00;1;530000;34263;34278;34960;34926
13;04.12.2019 0:00:00;1;530000;34500;34431;35109;34801
14;04.12.2019 0:00:00;1;530000;34509;34288;33658;33284
15;04.12.2019 0:00:00;1;530000;35025;34913;33976;33891
16;04.12.2019 0:00:00;1;530000;35632;35298;34815;34684
17;04.12.2019 0:00:00;1;530000;35651;35451;33810;34073
18;04.12.2019 0:00:00;1;530000;35232;35137;33550;33463
19;04.12.2019 0:00:00;1;530000;34119;34318;32922;32587
20;04.12.2019 0:00:00;1;530000;33666;33749;32766;32012
21;04.12.2019 0:00:00;1;530000;32392;32285;32218;31625
22;04.12.2019 0:00:00;1;530000;30670;30414;31336;30921
23;04.12.2019 0:00:00;1;530000;28945;28926;30139;30009
0;05.12.2019 0:00:00;1;530000;27657;27606;28442;28420
1;05.12.2019 0:00:00;1;530000;27110;26906;27717;27666
2;05.12.2019 0:00:00;1;530000;26744;26658;27643;27545
3;05.12.2019 0:00:00;1;530000;26644;26617;27639;27588
4;05.12.2019 0:00:00;1;530000;26952;26965;28386;28334
5;05.12.2019 0:00:00;1;530000;28217;28299;29883;29836
6;05.12.2019 0:00:00;1;530000;30487;30567;31587;31540
7;05.12.2019 0:00:00;1;530000;32416;32522;32753;32671
8;05.12.2019 0:00:00;1;530000;33692;34010;33727;34101
9;05.12.2019 0:00:00;1;530000;34119;34815;33875;34165
10;05.12.2019 0:00:00;1;530000;34397;34262;33202;33115
11;05.12.2019 0:00:00;1;530000;34030;33519;33289;32975
12;05.12.2019 0:00:00;1;530000;33810;33710;34284;34123
13;05.12.2019 0:00:00;1;530000;34111;34008;34135;34220
14;05.12.2019 0:00:00;1;530000;34119;33862;33232;33236
15;05.12.2019 0:00:00;1;530000;34345;34400;33538;33537
16;05.12.2019 0:00:00;1;530000;34857;34926;33931;34542
17;05.12.2019 0:00:00;1;530000;34777;34850;33629;34117
18;05.12.2019 0:00:00;1;530000;34401;34299;32193;32897
19;05.12.2019 0:00:00;1;530000;33417;33600;32415;32321
20;05.12.2019 0:00:00;1;530000;32770;32909;31823;31348
21;05.12.2019 0:00:00;1;530000;31648;31693;30931;30721
22;05.12.2019 0:00:00;1;530000;29763;29719;29846;29722
23;05.12.2019 0:00:00;1;530000;28441;28100;28971;28850
0;06.12.2019 0:00:00;1;530000;27355;27360;28551;28239
1;06.12.2019 0:00:00;1;530000;26559;26727;27717;27662
2;06.12.2019 0:00:00;1;530000;26387;26435;27201;27562
3;06.12.2019 0:00:00;1;530000;26205;26289;27180;27484
4;06.12.2019 0:00:00;1;530000;26428;26646;28606;28527
5;06.12.2019 0:00:00;1;530000;28037;27972;29945;29829
6;06.12.2019 0:00:00;1;530000;30286;30266;30941;31080
7;06.12.2019 0:00:00;1;530000;32120;32229;32082;32032
8;06.12.2019 0:00:00;1;530000;33617;33603;33323;33303
9;06.12.2019 0:00:00;1;530000;34078;34443;33262;33454
10;06.12.2019 0:00:00;1;530000;33889;34143;32648;32750
11;06.12.2019 0:00:00;1;530000;33656;33743;32639;32521
12;06.12.2019 0:00:00;1;530000;33630;33740;33623;33535
13;06.12.2019 0:00:00;1;530000;33404;33704;33498;33579
14;06.12.2019 0:00:00;1;530000;33416;33748;32539;32459
15;06.12.2019 0:00:00;1;530000;33785;33808;32642;32555
16;06.12.2019 0:00:00;1;530000;34667;34371;33505;33455
17;06.12.2019 0:00:00;1;530000;34616;34409;33501;33389
18;06.12.2019 0:00:00;1;530000;34379;34277;32578;32522
19;06.12.2019 0:00:00;1;530000;33282;33505;32654;32402
20;06.12.2019 0:00:00;1;530000;32904;32746;32600;32345
21;06.12.2019 0:00:00;1;530000;31700;31699;32328;32213
22;06.12.2019 0:00:00;1;530000;30062;30332;30970;30889
23;06.12.2019 0:00:00;1;530000;28888;28551;29935;29899
0;07.12.2019 0:00:00;1;530000;27782;27484;27721;27814
1;07.12.2019 0:00:00;1;530000;26690;26722;26993;26867
2;07.12.2019 0:00:00;1;530000;26398;26602;26313;26719
3;07.12.2019 0:00:00;1;530000;26495;26409;26447;26692
4;07.12.2019 0:00:00;1;530000;26207;26412;27164;27073
5;07.12.2019 0:00:00;1;530000;27013;27016;28046;28147
6;07.12.2019 0:00:00;1;530000;28071;28039;29333;29264
7;07.12.2019 0:00:00;1;530000;29049;29038;30250;30246
8;07.12.2019 0:00:00;1;530000;30322;30366;30805;30728
9;07.12.2019 0:00:00;1;530000;31600;31618;31284;31202
10;07.12.2019 0:00:00;1;530000;31974;32019;31501;31404
11;07.12.2019 0:00:00;1;530000;32129;31819;31386;31250
12;07.12.2019 0:00:00;1;530000;31853;31823;31280;31190
13;07.12.2019 0:00:00;1;530000;31924;31925;31296;31209
14;07.12.2019 0:00:00;1;530000;31815;31865;31240;31081
15;07.12.2019 0:00:00;1;530000;32362;32222;32009;31787
16;07.12.2019 0:00:00;1;530000;33376;32991;32825;32661
17;07.12.2019 0:00:00;1;530000;33217;33332;32982;32762
18;07.12.2019 0:00:00;1;530000;32714;33029;32707;32415
19;07.12.2019 0:00:00;1;530000;32127;32170;31933;31774
20;07.12.2019 0:00:00;1;530000;31557;31612;31054;30896
21;07.12.2019 0:00:00;1;530000;30861;30739;31034;30961
22;07.12.2019 0:00:00;1;530000;29637;29275;29910;29777
23;07.12.2019 0:00:00;1;530000;28215;28119;28361;28204
0;08.12.2019 0:00:00;1;530000;27313;27350;27419;27311
1;08.12.2019 0:00:00;1;530000;26612;26465;26800;27092
2;08.12.2019 0:00:00;1;530000;26075;26118;26741;26915
3;08.12.2019 0:00:00;1;530000;25937;26014;26788;26942
4;08.12.2019 0:00:00;1;530000;25974;26059;26951;27106
5;08.12.2019 0:00:00;1;530000;26670;26557;27593;27755
6;08.12.2019 0:00:00;1;530000;27496;27267;28630;28766
7;08.12.2019 0:00:00;1;530000;27965;28061;30085;30235
8;08.12.2019 0:00:00;1;530000;29165;29201;30560;30698
9;08.12.2019 0:00:00;1;530000;30348;30501;31089;30979
10;08.12.2019 0:00:00;1;530000;31036;30983;31232;31085
11;08.12.2019 0:00:00;1;530000;31216;31050;31205;31089
12;08.12.2019 0:00:00;1;530000;31278;31094;31171;31101
13;08.12.2019 0:00:00;1;530000;31461;31203;31243;31135
14;08.12.2019 0:00:00;1;530000;31339;31292;31348;31235
15;08.12.2019 0:00:00;1;530000;31833;31973;32246;32066
16;08.12.2019 0:00:00;1;530000;32760;33160;33300;33255
17;08.12.2019 0:00:00;1;530000;32955;33209;33372;33276
18;08.12.2019 0:00:00;1;530000;32474;32841;32815;32742
19;08.12.2019 0:00:00;1;530000;31878;32095;32208;32129
20;08.12.2019 0:00:00;1;530000;31489;31556;31165;31069
21;08.12.2019 0:00:00;1;530000;30693;30554;30908;30786
22;08.12.2019 0:00:00;1;530000;28791;28820;29114;29013
23;08.12.2019 0:00:00;1;530000;27530;27662;27935;28108
0;09.12.2019 0:00:00;1;530000;26629;26824;26530;26693
1;09.12.2019 0:00:00;1;530000;25934;26313;26112;26676
2;09.12.2019 0:00:00;1;530000;25703;25818;26110;26125
3;09.12.2019 0:00:00;1;530000;25452;25642;26227;26273
4;09.12.2019 0:00:00;1;530000;25909;25888;26438;26563
5;09.12.2019 0:00:00;1;530000;27138;27317;27325;27562
6;09.12.2019 0:00:00;1;530000;29506;29719;29033;29415
7;09.12.2019 0:00:00;1;530000;31829;31648;30751;30704
8;09.12.2019 0:00:00;1;530000;33203;33100;32094;31943
9;09.12.2019 0:00:00;1;530000;33799;33868;32048;32216
10;09.12.2019 0:00:00;1;530000;33846;33798;31202;31450
11;09.12.2019 0:00:00;1;530000;33495;33462;31303;31210
12;09.12.2019 0:00:00;1;530000;33648;33398;32386;32288
13;09.12.2019 0:00:00;1;530000;33687;33213;32376;32324
14;09.12.2019 0:00:00;1;530000;33706;33487;31479;31417
15;09.12.2019 0:00:00;1;530000;34032;33868;31727;31659
16;09.12.2019 0:00:00;1;530000;34381;34642;32813;32814
17;09.12.2019 0:00:00;1;530000;34204;34545;32710;32579
18;09.12.2019 0:00:00;1;530000;33852;33876;31807;31697
19;09.12.2019 0:00:00;1;530000;32697;33029;31166;31101
20;09.12.2019 0:00:00;1;530000;32515;32528;31174;31117
21;09.12.2019 0:00:00;1;530000;31200;31339;31062;30944
22;09.12.2019 0:00:00;1;530000;29232;29430;29932;29814
23;09.12.2019 0:00:00;1;530000;27756;27751;27762;27893
0;10.12.2019 0:00:00;1;530000;26713;26918;26190;26767
1;10.12.2019 0:00:00;1;530000;26160;26101;25784;26237
2;10.12.2019 0:00:00;1;530000;25769;25710;26540;26650
3;10.12.2019 0:00:00;1;530000;25639;25845;26683;26702
4;10.12.2019 0:00:00;1;530000;26063;26052;26773;26814
5;10.12.2019 0:00:00;1;530000;27316;27407;28620;28540
6;10.12.2019 0:00:00;1;530000;29380;29719;29710;29626
7;10.12.2019 0:00:00;1;530000;31600;31565;30675;30676
8;10.12.2019 0:00:00;1;530000;32909;33007;31730;31738
9;10.12.2019 0:00:00;1;530000;33566;33705;31885;31853
10;10.12.2019 0:00:00;1;530000;33520;33539;31254;31212
11;10.12.2019 0:00:00;1;530000;33339;33044;31484;31034
12;10.12.2019 0:00:00;1;530000;33327;32989;31848;31761
13;10.12.2019 0:00:00;1;530000;33606;33246;31961;31892
14;10.12.2019 0:00:00;1;530000;33693;33323;31523;31161
15;10.12.2019 0:00:00;1;530000;34047;33807;31513;31362
16;10.12.2019 0:00:00;1;530000;34226;34457;32573;32389
17;10.12.2019 0:00:00;1;530000;33869;34295;32413;32290
18;10.12.2019 0:00:00;1;530000;33807;33777;31668;31370
19;10.12.2019 0:00:00;1;530000;32987;32802;31047;30935
20;10.12.2019 0:00:00;1;530000;32346;32311;31064;30896
21;10.12.2019 0:00:00;1;530000;31283;31003;30725;30619
22;10.12.2019 0:00:00;1;530000;29528;29546;30047;29551
23;10.12.2019 0:00:00;1;530000;27915;27755;27946;27882
0;11.12.2019 0:00:00;1;530000;26942;26765;26668;26774
1;11.12.2019 0:00:00;1;530000;26221;26307;26576;26766
2;11.12.2019 0:00:00;1;530000;25893;25848;26416;26530
3;11.12.2019 0:00:00;1;530000;25689;25673;26419;26539
4;11.12.2019 0:00:00;1;530000;26116;26076;26846;26969
5;11.12.2019 0:00:00;1;530000;27377;27405;28836;28766
6;11.12.2019 0:00:00;1;530000;29752;29574;29636;29531
7;11.12.2019 0:00:00;1;530000;31459;31680;30799;30743
8;11.12.2019 0:00:00;1;530000;32838;33201;32133;32053
9;11.12.2019 0:00:00;1;530000;33335;33759;32261;32211
10;11.12.2019 0:00:00;1;530000;33526;33612;31495;31434
11;11.12.2019 0:00:00;1;530000;33158;33029;31251;31192
12;11.12.2019 0:00:00;1;530000;33140;33134;32273;32194
13;11.12.2019 0:00:00;1;530000;33341;33330;32430;32363
14;11.12.2019 0:00:00;1;530000;33414;33471;31579;31478
15;11.12.2019 0:00:00;1;530000;33671;33918;31613;31530
16;11.12.2019 0:00:00;1;530000;34235;34427;32581;32526
17;11.12.2019 0:00:00;1;530000;34084;34120;32464;32384
18;11.12.2019 0:00:00;1;530000;33822;33972;31706;31569
19;11.12.2019 0:00:00;1;530000;32948;33019;30959;30960
20;11.12.2019 0:00:00;1;530000;32441;32462;30952;30937
21;11.12.2019 0:00:00;1;530000;31617;31312;30851;30921
22;11.12.2019 0:00:00;1;530000;29705;29521;29459;29446
23;11.12.2019 0:00:00;1;530000;28095;28101;27913;28320
0;12.12.2019 0:00:00;1;530000;27121;27082;26572;26781
1;12.12.2019 0:00:00;1;530000;26623;26469;26278;26654
2;12.12.2019 0:00:00;1;530000;26026;26019;26647;26640
3;12.12.2019 0:00:00;1;530000;26006;26016;26878;26648
4;12.12.2019 0:00:00;1;530000;26581;26387;26967;26964
5;12.12.2019 0:00:00;1;530000;27775;27741;28480;28408
6;12.12.2019 0:00:00;1;530000;29978;30126;29618;29613
7;12.12.2019 0:00:00;1;530000;31787;31921;29647;30726
8;12.12.2019 0:00:00;1;530000;33490;33216;30815;31904
9;12.12.2019 0:00:00;1;530000;34035;34074;31344;31509
10;12.12.2019 0:00:00;1;530000;33728;34019;30565;30742
11;12.12.2019 0:00:00;1;530000;33753;33492;30519;30515
12;12.12.2019 0:00:00;1;530000;33511;33573;31621;31636
13;12.12.2019 0:00:00;1;530000;33663;33851;31573;31681
14;12.12.2019 0:00:00;1;530000;33741;33710;30578;30685
15;12.12.2019 0:00:00;1;530000;34150;34277;30796;30835
16;12.12.2019 0:00:00;1;530000;34398;34509;31853;31871
17;12.12.2019 0:00:00;1;530000;34404;34479;31881;31798
18;12.12.2019 0:00:00;1;530000;33880;34169;31020;31013
19;12.12.2019 0:00:00;1;530000;33022;33249;30164;30405
20;12.12.2019 0:00:00;1;530000;32455;32624;29987;29919
21;12.12.2019 0:00:00;1;530000;31468;31471;29900;29880
22;12.12.2019 0:00:00;1;530000;29574;29568;28565;28481
23;12.12.2019 0:00:00;1;530000;28217;28062;27468;27415
0;13.12.2019 0:00:00;1;530000;27121;27019;26007;26155
1;13.12.2019 0:00:00;1;530000;26283;26369;25941;26066
2;13.12.2019 0:00:00;1;530000;26237;25919;26026;25982
3;13.12.2019 0:00:00;1;530000;26038;26020;26054;25979
4;13.12.2019 0:00:00;1;530000;26286;26426;26243;26212
5;13.12.2019 0:00:00;1;530000;27628;27691;26972;26907
6;13.12.2019 0:00:00;1;530000;30049;30051;28992;28949
7;13.12.2019 0:00:00;1;530000;31791;31810;30100;30043
8;13.12.2019 0:00:00;1;530000;33579;33255;31625;31347
9;13.12.2019 0:00:00;1;530000;34016;33954;32018;31628
10;13.12.2019 0:00:00;1;530000;33994;33928;31273;31145
11;13.12.2019 0:00:00;1;530000;33892;33631;31376;30843
12;13.12.2019 0:00:00;1;530000;33955;33584;32537;32107
13;13.12.2019 0:00:00;1;530000;33951;33868;32570;32131
14;13.12.2019 0:00:00;1;530000;34022;33849;31230;31091
15;13.12.2019 0:00:00;1;530000;34296;34354;31358;31316
16;13.12.2019 0:00:00;1;530000;34470;34615;32107;32002
17;13.12.2019 0:00:00;1;530000;34438;34527;31937;31836
18;13.12.2019 0:00:00;1;530000;33944;34128;31062;31007
19;13.12.2019 0:00:00;1;530000;33089;33307;30504;30380
20;13.12.2019 0:00:00;1;530000;32473;32651;30266;30131
21;13.12.2019 0:00:00;1;530000;31816;31707;30466;30082
22;13.12.2019 0:00:00;1;530000;29991;29870;28543;28251
23;13.12.2019 0:00:00;1;530000;28521;28583;28365;27622
0;14.12.2019 0:00:00;1;530000;27653;27266;27970;27382
1;14.12.2019 0:00:00;1;530000;26742;26654;26263;26028
2;14.12.2019 0:00:00;1;530000;26277;26256;26316;25977
3;14.12.2019 0:00:00;1;530000;26308;26166;26414;26061
4;14.12.2019 0:00:00;1;530000;26511;26356;27023;26528
5;14.12.2019 0:00:00;1;530000;27091;26987;28699;28422
6;14.12.2019 0:00:00;1;530000;28041;28026;29618;29276
7;14.12.2019 0:00:00;1;530000;29255;29270;30738;30417
8;14.12.2019 0:00:00;1;530000;30627;30635;31117;30711
9;14.12.2019 0:00:00;1;530000;31648;31781;31730;31353
10;14.12.2019 0:00:00;1;530000;32120;32373;31965;31888
11;14.12.2019 0:00:00;1;530000;32320;32062;31814;31739
12;14.12.2019 0:00:00;1;530000;32357;32046;31777;31726
13;14.12.2019 0:00:00;1;530000;32374;32057;31796;31675
14;14.12.2019 0:00:00;1;530000;32531;32147;31870;31703
15;14.12.2019 0:00:00;1;530000;32950;32894;32911;32808
16;14.12.2019 0:00:00;1;530000;33711;33620;34055;34010
17;14.12.2019 0:00:00;1;530000;33654;33668;34038;33933
18;14.12.2019 0:00:00;1;530000;33052;33118;33711;33626
19;14.12.2019 0:00:00;1;530000;32267;32474;32968;32707
20;14.12.2019 0:00:00;1;530000;31925;31920;31871;31636
21;14.12.2019 0:00:00;1;530000;31014;30912;31691;31589
22;14.12.2019 0:00:00;1;530000;29632;29642;29453;29512
23;14.12.2019 0:00:00;1;530000;28675;28449;29308;29231
0;15.12.2019 0:00:00;1;530000;27466;27216;27887;27860
1;15.12.2019 0:00:00;1;530000;26618;26800;27439;27606
2;15.12.2019 0:00:00;1;530000;26244;26290;26499;26405
3;15.12.2019 0:00:00;1;530000;26224;26008;26437;26383
4;15.12.2019 0:00:00;1;530000;26164;26202;26810;26746
5;15.12.2019 0:00:00;1;530000;26904;26698;27210;27258
6;15.12.2019 0:00:00;1;530000;27607;27476;28155;28049
7;15.12.2019 0:00:00;1;530000;28317;28444;29151;29054
8;15.12.2019 0:00:00;1;530000;29508;29458;30164;30088
9;15.12.2019 0:00:00;1;530000;30634;30593;30721;30637
10;15.12.2019 0:00:00;1;530000;31276;31282;31469;31312
11;15.12.2019 0:00:00;1;530000;31522;31384;31879;31147
12;15.12.2019 0:00:00;1;530000;31693;31418;31773;31121
13;15.12.2019 0:00:00;1;530000;31931;31582;31771;31093
14;15.12.2019 0:00:00;1;530000;31919;31777;31546;30962
15;15.12.2019 0:00:00;1;530000;32571;32490;31778;31326
16;15.12.2019 0:00:00;1;530000;33278;33526;32728;31914
17;15.12.2019 0:00:00;1;530000;33211;33497;32127;31695
18;15.12.2019 0:00:00;1;530000;32807;33075;31863;31467
19;15.12.2019 0:00:00;1;530000;32224;32401;31735;31635
20;15.12.2019 0:00:00;1;530000;31854;31749;30638;30564
21;15.12.2019 0:00:00;1;530000;30942;30999;30228;30133
22;15.12.2019 0:00:00;1;530000;29365;29258;29139;29078
23;15.12.2019 0:00:00;1;530000;28057;27732;28210;28362
0;16.12.2019 0:00:00;1;530000;27001;27111;26625;26927
1;16.12.2019 0:00:00;1;530000;26390;26310;26429;26682
2;16.12.2019 0:00:00;1;530000;25917;25917;26369;26529
3;16.12.2019 0:00:00;1;530000;25856;25912;26584;26521
4;16.12.2019 0:00:00;1;530000;26288;26222;26808;26744
5;16.12.2019 0:00:00;1;530000;27346;27671;27547;27472
6;16.12.2019 0:00:00;1;530000;29651;30052;29136;29108
7;16.12.2019 0:00:00;1;530000;31813;32103;30773;30709
8;16.12.2019 0:00:00;1;530000;33139;33277;31987;31917
9;16.12.2019 0:00:00;1;530000;33791;33803;32383;32222
10;16.12.2019 0:00:00;1;530000;33876;33769;31846;31692
11;16.12.2019 0:00:00;1;530000;33612;33322;31502;31248
12;16.12.2019 0:00:00;1;530000;33695;33431;32851;32653
13;16.12.2019 0:00:00;1;530000;33898;33720;32729;32679
14;16.12.2019 0:00:00;1;530000;33854;33777;31694;31621
15;16.12.2019 0:00:00;1;530000;34408;34218;31864;31859
16;16.12.2019 0:00:00;1;530000;34500;34505;32823;32642
17;16.12.2019 0:00:00;1;530000;34432;34621;32465;32348
18;16.12.2019 0:00:00;1;530000;33836;33955;31619;31545
19;16.12.2019 0:00:00;1;530000;33060;33172;31380;31284
20;16.12.2019 0:00:00;1;530000;32423;32535;30707;29608
21;16.12.2019 0:00:00;1;530000;31406;31311;30159;29561
22;16.12.2019 0:00:00;1;530000;29729;29570;28959;28839
23;16.12.2019 0:00:00;1;530000;28082;27953;28643;28536
0;17.12.2019 0:00:00;1;530000;27003;27050;27354;27305
1;17.12.2019 0:00:00;1;530000;26573;26613;27317;27274
2;17.12.2019 0:00:00;1;530000;26006;26091;27088;27060
3;17.12.2019 0:00:00;1;530000;25973;26015;27055;27057
4;17.12.2019 0:00:00;1;530000;26346;26256;27499;27495
5;17.12.2019 0:00:00;1;530000;27683;27563;28506;28439
6;17.12.2019 0:00:00;1;530000;30078;29841;29837;29761
7;17.12.2019 0:00:00;1;530000;31962;31950;30983;30897
8;17.12.2019 0:00:00;1;530000;33442;33400;32017;31871
9;17.12.2019 0:00:00;1;530000;33630;34036;32417;32311
10;17.12.2019 0:00:00;1;530000;33779;34027;31912;31771
11;17.12.2019 0:00:00;1;530000;33405;33425;31884;31348
12;17.12.2019 0:00:00;1;530000;33219;33352;32461;32329
13;17.12.2019 0:00:00;1;530000;33478;33476;32332;32256
14;17.12.2019 0:00:00;1;530000;33703;33503;31643;31334
15;17.12.2019 0:00:00;1;530000;34200;34073;31627;31513
16;17.12.2019 0:00:00;1;530000;34472;34611;32335;32360
17;17.12.2019 0:00:00;1;530000;34148;34265;32155;32075
18;17.12.2019 0:00:00;1;530000;33981;33963;31651;31376
19;17.12.2019 0:00:00;1;530000;32886;33212;30864;30792
20;17.12.2019 0:00:00;1;530000;32400;32428;30459;30233
21;17.12.2019 0:00:00;1;530000;31361;31341;29862;29782
22;17.12.2019 0:00:00;1;530000;29406;29725;29094;29250
23;17.12.2019 0:00:00;1;530000;27733;27999;29050;29035
0;18.12.2019 0:00:00;1;530000;26911;27012;27464;27241
1;18.12.2019 0:00:00;1;530000;26120;26095;26448;26607
2;18.12.2019 0:00:00;1;530000;25854;25792;26261;26410
3;18.12.2019 0:00:00;1;530000;25712;25684;26070;26164
4;18.12.2019 0:00:00;1;530000;26088;26071;26418;26270
5;18.12.2019 0:00:00;1;530000;27476;27521;28238;28087
6;18.12.2019 0:00:00;1;530000;29708;29683;29194;28991
7;18.12.2019 0:00:00;1;530000;31691;31683;30258;30191
8;18.12.2019 0:00:00;1;530000;33251;33223;31562;31508
9;18.12.2019 0:00:00;1;530000;33503;33679;31628;31639
10;18.12.2019 0:00:00;1;530000;33879;33668;31109;31025
11;18.12.2019 0:00:00;1;530000;33369;33153;31124;30861
12;18.12.2019 0:00:00;1;530000;33418;33300;32056;31912
13;18.12.2019 0:00:00;1;530000;33675;33487;32273;31929
14;18.12.2019 0:00:00;1;530000;33666;33617;31617;31042
15;18.12.2019 0:00:00;1;530000;34032;34060;31450;31297
16;18.12.2019 0:00:00;1;530000;34410;34361;32557;32203
17;18.12.2019 0:00:00;1;530000;33956;34098;33018;32005
18;18.12.2019 0:00:00;1;530000;33688;33756;33183;32273
19;18.12.2019 0:00:00;1;530000;32911;32927;31832;31707
20;18.12.2019 0:00:00;1;530000;32177;32023;31145;30859
21;18.12.2019 0:00:00;1;530000;31194;31286;30929;30677
22;18.12.2019 0:00:00;1;530000;29438;29316;29750;29801
23;18.12.2019 0:00:00;1;530000;28031;27972;29209;29393
0;19.12.2019 0:00:00;1;530000;26598;26895;27335;27361
1;19.12.2019 0:00:00;1;530000;25960;26262;27812;27834
2;19.12.2019 0:00:00;1;530000;25446;25634;27779;27729
3;19.12.2019 0:00:00;1;530000;25560;25590;27795;27755
4;19.12.2019 0:00:00;1;530000;25869;25935;28204;28042
5;19.12.2019 0:00:00;1;530000;27130;27341;29170;29042
6;19.12.2019 0:00:00;1;530000;29338;29558;30698;30607
7;19.12.2019 0:00:00;1;530000;31489;31532;31737;31750
8;19.12.2019 0:00:00;1;530000;32727;32813;32759;32770
