INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT
1;08.01.2016 0:00:00;1;630000;30237
2;08.01.2016 0:00:00;1;630000;30374
3;08.01.2016 0:00:00;1;630000;30760
4;08.01.2016 0:00:00;1;630000;30748
5;08.01.2016 0:00:00;1;630000;31104
6;08.01.2016 0:00:00;1;630000;32041
7;08.01.2016 0:00:00;1;630000;32366
8;08.01.2016 0:00:00;1;630000;33228
9;08.01.2016 0:00:00;1;630000;33168
10;08.01.2016 0:00:00;1;630000;33090
11;08.01.2016 0:00:00;1;630000;33124
12;08.01.2016 0:00:00;1;630000;32913
13;08.01.2016 0:00:00;1;630000;33041
14;08.01.2016 0:00:00;1;630000;33630
15;08.01.2016 0:00:00;1;630000;34373
16;08.01.2016 0:00:00;1;630000;34074
17;08.01.2016 0:00:00;1;630000;33997
18;08.01.2016 0:00:00;1;630000;33757
19;08.01.2016 0:00:00;1;630000;33408
20;08.01.2016 0:00:00;1;630000;32532
21;08.01.2016 0:00:00;1;630000;31719
22;08.01.2016 0:00:00;1;630000;30877
23;08.01.2016 0:00:00;1;630000;30413
0;09.01.2016 0:00:00;1;630000;30067
1;09.01.2016 0:00:00;1;630000;30045
2;09.01.2016 0:00:00;1;630000;29833
3;09.01.2016 0:00:00;1;630000;30197
4;09.01.2016 0:00:00;1;630000;30327
5;09.01.2016 0:00:00;1;630000;30580
6;09.01.2016 0:00:00;1;630000;31294
7;09.01.2016 0:00:00;1;630000;32103
8;09.01.2016 0:00:00;1;630000;32581
9;09.01.2016 0:00:00;1;630000;32779
10;09.01.2016 0:00:00;1;630000;32724
11;09.01.2016 0:00:00;1;630000;32495
12;09.01.2016 0:00:00;1;630000;32372
13;09.01.2016 0:00:00;1;630000;32528
14;09.01.2016 0:00:00;1;630000;33101
15;09.01.2016 0:00:00;1;630000;33750
16;09.01.2016 0:00:00;1;630000;33743
17;09.01.2016 0:00:00;1;630000;33308
18;09.01.2016 0:00:00;1;630000;33238
19;09.01.2016 0:00:00;1;630000;32896
20;09.01.2016 0:00:00;1;630000;32116
21;09.01.2016 0:00:00;1;630000;31354
22;09.01.2016 0:00:00;1;630000;30356
23;09.01.2016 0:00:00;1;630000;29699
0;10.01.2016 0:00:00;1;630000;29697
1;10.01.2016 0:00:00;1;630000;29702
2;10.01.2016 0:00:00;1;630000;29601
3;10.01.2016 0:00:00;1;630000;29725
4;10.01.2016 0:00:00;1;630000;29725
5;10.01.2016 0:00:00;1;630000;30283
6;10.01.2016 0:00:00;1;630000;30960
7;10.01.2016 0:00:00;1;630000;31403
8;10.01.2016 0:00:00;1;630000;31750
9;10.01.2016 0:00:00;1;630000;32056
10;10.01.2016 0:00:00;1;630000;32258
11;10.01.2016 0:00:00;1;630000;32245
12;10.01.2016 0:00:00;1;630000;32059
